Bubble sort, 10, 5.01e-07
Bubble sort with check, 10, 3e-07
Shaker sort, 10, 9e-08
Shaker sort with check, 10, 8e-08
Comb sort, 10, 7e-08
Comb sort with check, 10, 7e-08
Bubble sort, 25, 9.82e-07
Bubble sort with check, 25, 5.61e-07
Shaker sort, 25, 3e-07
Shaker sort with check, 25, 2.61e-07
Comb sort, 25, 2.11e-07
Comb sort with check, 25, 2e-07
Bubble sort, 100, 3.827e-06
Bubble sort with check, 100, 2.154e-06
Shaker sort, 100, 1.263e-06
Shaker sort with check, 100, 1.072e-06
Comb sort, 100, 1.062e-06
Comb sort with check, 100, 1.032e-06
Bubble sort, 250, 1.3365e-05
Bubble sort with check, 250, 1.4457e-05
Shaker sort, 250, 9.378e-06
Shaker sort with check, 250, 1.1611e-05
Comb sort, 250, 1.1181e-05
Comb sort with check, 250, 1.1451e-05
Bubble sort, 1000, 0.000139629
Bubble sort with check, 1000, 0.000141121
Shaker sort, 1000, 0.000124811
Shaker sort with check, 1000, 0.000120463
Comb sort, 1000, 0.000116977
Comb sort with check, 1000, 0.000114362
Bubble sort, 2500, 0.000385946
Bubble sort with check, 2500, 0.000375536
Shaker sort, 2500, 0.000375826
Shaker sort with check, 2500, 0.000368263
Comb sort, 2500, 0.000375616
Comb sort with check, 2500, 0.0003671
Bubble sort, 10000, 0.0114608
Bubble sort with check, 10000, 0.00943671
Shaker sort, 10000, 0.0105475
Shaker sort with check, 10000, 0.00943647
Comb sort, 10000, 0.00942949
Comb sort with check, 10000, 0.00943254
Bubble sort, 25000, 0.0620146
Bubble sort with check, 25000, 0.060737
Shaker sort, 25000, 0.0605145
Shaker sort with check, 25000, 0.0605901
Comb sort, 25000, 0.0635467
Comb sort with check, 25000, 0.0604282
Bubble sort, 100000, 0.883818
Bubble sort with check, 100000, 0.736743
Shaker sort, 100000, 0.73687
Shaker sort with check, 100000, 0.73657
Comb sort, 100000, 0.739382
Comb sort with check, 100000, 0.737923
Bubble sort, 250000, 5.41381
Bubble sort with check, 250000, 5.40242
Shaker sort, 250000, 5.4156
Shaker sort with check, 250000, 5.40734
Comb sort, 250000, 5.3904
Comb sort with check, 250000, 5.39937
